gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b2621,386339447,255947316,266205512,75815318,100726451,174636182
b3123,295344019,225058080,241502351,82506512,101456141,160679777
b3708,32753276,25459581,26817617,10411095,22095216,50262110
b2215,22170466,25727184,29026344,14408030,18414197,17590693
b1901,26158811,23867382,22835167,7580069,19927277,24719593
b2597,35630048,31393128,28861546,5077253,7933699,14736906
b1677,18573821,13896953,14539063,9897648,13224530,15258291
b4408,25841655,21810919,17668358,1045168,3742697,8768221
Novel00250,18679909,15905384,16147457,5354599,6229869,9302612
b2096,15987028,14032914,12093747,5923283,11269269,10870053
b2095,15059956,12631502,11200413,6123264,14159164,10794159
b2093,12364025,10614413,10648494,6148174,14142736,12388178
b3556,2797375,4690566,6754740,9834548,24343710,8569206
b2092,9665131,8563371,8048480,6246294,11966901,12412552
b2094,9913949,7885080,7551069,4375573,11154167,7479252
b3707,9733244,6504094,6584380,2946118,8060427,13157096
b0957,3859966,5825297,7464935,11339411,9129028,7382816
b2579,2924759,2048075,1633560,6389550,9568812,17655413
b3926,7935598,7000151,4872140,2334391,1798301,6908787
b2841,6118767,5979250,4733229,3590933,3946578,4670693
b0759,5947212,6634512,5710605,1877905,4066270,3627061
b0757,6446268,6197192,5265970,1546869,4940906,3372313
b1243,6944327,5553154,4625347,2299853,2872286,5198068
b4139,5716789,5892334,5432848,2082338,4203768,3398345
b1656,5510248,5474092,4574380,2351625,2497614,4432311
b1779,2023730,2938765,2130416,7523947,4791255,5141371
b3236,4257482,3963637,3081833,4908031,2430439,5229045
b3927,7297254,6871479,4716682,855247,728167,3331536
b3495,6183324,5294343,5693847,1741910,1582598,3150582
b1718,2973134,3027665,4157041,5118917,4577740,3301648
b1900,4715111,4570104,4047875,1764811,3432939,4003001
b1823,4645511,4250514,3753663,2184320,4694296,3003363
b4460,3999528,4525222,3788975,1338497,3196431,3862090
b0014,927401,1477272,953288,7944442,4012628,4420696
b3426,7059332,5259708,3781242,855007,488178,2204228
b0758,4550728,4503576,3972738,1229252,2958052,2388547
b4015,4927180,4240795,2466304,3916645,911485,2607916
b0756,4019485,3563671,3167702,1571027,3975658,2328210
b0720,4217094,3349991,2346618,3345805,1142744,4187613
b0722,5838658,5606495,4309563,1104717,131705,904284
b2240,3437998,4015403,2964473,860470,3186905,3373161
b1094,2897906,2693636,3324680,2876580,3187313,2668193
b1237,2577413,2283242,3149809,2971114,2861150,3541510
b3544,6527234,3871757,2016996,1086799,804661,2700624
b1717,1649772,1989400,2310623,4746054,3773529,2484768
