gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b2621,302235425.41020447,235177291.98348123,247156555.62623012,98945011.74245419,118904590.16324964,185195852.14751998
b3123,231049213.1154925,206794705.3345997,224221086.93525794,107677551.37120096,119765967.58233713,170395549.6713074
b3708,25623063.8168249,23393546.016376633,24898619.859619714,13587305.892811874,26082747.64935852,53301292.92555414
b2215,17344074.68635341,23639433.138188276,26949296.2469616,18803623.530743908,21737413.814672586,18654343.806029927
b1901,20464178.411504887,21930553.338935126,21201143.35900661,9892592.104060197,23523559.911334023,26214304.721657682
b2597,27873578.01096093,28845588.011287447,26796290.752266616,6626218.43391082,9365496.537484314,15627997.780482285
b1677,14530399.976029344,12769220.730416706,13498686.432581322,12917216.77646565,15611165.727973478,16180909.200476194
b4408,20216065.568444885,20040971.50247537,16404057.429326061,1364027.2541340175,4418142.885727444,9298406.214084432
Novel00250,14613393.18850065,14614668.344783075,14991988.048101194,6988176.992558857,7354175.719104149,9865110.063719472
b2096,12506737.9118158,12894148.548746968,11228350.723012278,7730354.781191833,13303038.065784866,11527329.017211944
b2095,11781484.504529411,11606460.581301533,10398941.321212202,7991345.870001455,16714473.465110356,11446845.958993895
b2093,9672443.196455173,9753057.56022954,9886516.17268758,8023855.398517903,16695080.697989019,13137249.995909553
b3556,2188401.494390685,4309928.414134218,6271388.822898309,12834866.264647592,28737028.17746455,9087357.437748158
b2092,7561083.917559045,7868456.811752132,7472552.239363851,8151909.79185527,14126571.965979246,13163097.810769841
b2094,7755735.576000013,7245208.859596356,7010734.643751486,5710470.3018585965,13167163.566077035,7931497.537927411
b3707,7614369.083469027,5976289.330285489,6113219.330087489,3844917.9901171904,9515095.185630951,13952661.914623894
b0957,3019672.143597921,5352576.439830677,6930764.163041418,14798832.00578957,10776546.995871328,7829230.373167142
b2579,2288054.68209754,1881874.519360337,1516666.803686561,8338870.250191368,11295698.973938685,18722977.209564753
b3926,6208060.957892213,6432091.499859518,4523502.657333334,3046565.667725345,2122841.034031488,7326538.413275138
b2841,4786744.303723458,5494036.214438092,4394531.757968203,4686452.780576166,4658818.363781103,4953114.299386461
b0759,4652535.905360638,6096123.960885411,5301969.338418236,2450815.1805973225,4800111.222454538,3846377.3371204142
b0757,5042950.095873042,5694292.306865581,4889151.233018267,2018786.9075354715,5832593.098759541,3576225.5713032
b1243,5432584.327927997,5102517.737233223,4294369.50612847,3001490.834489654,3390648.496705594,5512377.914794054
b4139,4472274.754266492,5414173.413649682,5044087.888461352,2717616.4830141393,4962423.536409355,3603831.639919062
b1656,4310696.620103949,5029871.587434184,4247049.568701322,3069057.4065632597,2948359.3049058644,4700318.131255449
b1779,1583174.8536550377,2700285.376213264,1977969.113618544,9819348.43648091,5655934.528484684,5452252.6354335155
b3236,3330651.046478017,3641989.4165466833,2861305.250866675,6405370.283183791,2869061.2082796237,5545227.991142916
b3927,5708681.016505975,6313861.182046385,4379168.817151458,1116165.2643559277,859579.56272482,3532982.9214895465
b3495,4837247.591725023,4864709.148079911,5286410.496198679,2273330.903977721,1868210.0353479004,3341087.233862212
b1718,2325898.704543994,2781971.1761820805,3859574.23434951,6680593.263140417,5403886.398955071,3501287.6933552925
b1900,3688656.6722795325,4199241.858050488,3758219.862124892,2303218.527926142,4052482.7470634906,4245049.180829977
b1823,3634208.2182790525,3905586.4608397563,3485060.8880766593,2850711.0930970116,5541477.302570525,3184966.389687402
b4460,3128852.2461441127,4158002.014696153,3517846.055546345,1746844.8972573022,3773292.0624802536,4095617.760473116
b0014,725510.7857542931,1357391.958284967,885073.2534787547,10368127.8099664,4736788.431249107,4688000.810766311
b3426,5522553.357415427,4832884.7647062335,3510666.4083996788,1115852.0452935451,576279.6608084096,2337510.349301061
b0758,3560058.968055957,4138112.5790816983,3688459.4654277414,1604271.4952990806,3491892.7178480746,2532974.5073068673
b4015,3854559.3905471717,3896656.1538667874,2289821.864271518,5111532.810770832,1075981.0287066463,2765608.0224495046
b0756,3144464.7144844513,3274480.5001200503,2941029.694269893,2050315.0163231206,4693146.441933556,2468989.1292308345
b0720,3299055.297050267,3078140.5480690184,2178700.2751863115,4366541.270894121,1348975.4243551432,4440824.055573046
