gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b2621,18.18239750925259,16.748106465120028,-1.4342910441325607,0.023205399093054278,0.1007258941969239,False
b3123,17.944556562176967,16.752195518778738,-1.192361043398229,0.017878241042660895,0.09015454584209225,False
b3708,14.782106867847276,14.46489894431364,-0.31720792353363514,0.6583219978194872,0.7535284207858121,False
b2215,14.637534514532062,14.028633855539361,-0.6089006589927006,0.017621474394871023,0.08946287000472981,False
b1901,14.565636838701195,13.92138022404743,-0.6442566146537647,0.2890212241583888,0.43326642794985304,False
b2597,14.958655133786579,13.037106765872691,-1.9215483679138874,0.013377669801409484,0.08102426729922506,False
b1677,13.923797089806017,13.620484640555171,-0.3033124492508463,0.24895117747653508,0.3916203591008375,False
b4408,14.393085920602767,11.666459878345096,-2.7266260422576707,0.03948048928008285,0.13086295117356858,False
Novel00250,14.041901330910628,12.725208352093391,-1.3166929788172368,0.006131412963305656,0.06384636050885333,False
b2096,13.767809054983013,13.133621071825488,-0.6341879831575259,0.12079445653422718,0.24267033165873395,False
b2095,13.651590544673573,13.255989364793828,-0.3956011798797441,0.3534703985117157,0.49760826490607907,False
b2093,13.448782582575829,13.323615149721201,-0.12516743285462795,0.7582833138651474,0.8298174959399157,False
b3556,12.122708517490729,13.633408167343894,1.5106996498531657,0.06533161382790345,0.16925145642650788,False
b2092,13.092511434872764,13.251842253991022,0.1593308191182583,0.6553915856989403,0.7518909602803793,False
b2094,13.034379546799926,12.803293880824862,-0.23108566597506375,0.6027549822851508,0.7098305852783409,False
b3707,12.867086101663878,12.728523981862033,-0.13856211980184518,0.844768470298934,0.8950909272808578,False
b0957,12.429738952584936,13.158579944995585,0.7288409924106496,0.09177255910426133,0.20396376310458805,False
b2579,11.06334631401746,13.324634625697795,2.2612883116803353,0.010014332066509255,0.07362116753639561,False
b3926,12.659439092428821,11.585698266138564,-1.0737408262902566,0.1638828537272423,0.2947920831775004,False
b2841,12.444721609475172,11.982342282431645,-0.4623793270435268,0.046321482337535164,0.14161499504826827,False
b0759,12.571304300733601,11.563501653929523,-1.0078026468040786,0.04621930380750424,0.14155559420548233,False
b0757,12.538287126750268,11.528956720297641,-1.0093304064526265,0.1141067164365958,0.23428968538714098,False
b1243,12.458945396577404,11.666825379982674,-0.7921200165947297,0.1119429685210619,0.23125365223670358,False
b4139,12.471289432514034,11.59784426284949,-0.873445169664544,0.044418381155434936,0.13843728793443888,False
b1656,12.335502198028854,11.533712412890745,-0.8017897851381086,0.057889517082593295,0.15968540422045402,False
b1779,11.187531702099372,12.477390866803148,1.2898591647037758,0.008028149610013907,0.06876018215599698,False
b3236,11.866379236049768,11.953808273680139,0.08742903763037013,0.8298706417853292,0.8855110414485396,False
b3927,12.594604347413773,10.31813115682513,-2.276473190588643,0.034518598950347174,0.12112546684062402,False
b3495,12.480116717914138,11.006044418258966,-1.4740722996551714,0.009676800429319656,0.07296772762422614,False
b1718,11.708136077120107,12.05734906910587,0.3492129919857625,0.22915934703807664,0.37088609791088634,False
b1900,12.115004690980172,11.499663428301908,-0.615341262678264,0.17038382804519045,0.3025489998877114,False
b1823,12.036720396084151,11.614490865144262,-0.42222953093988913,0.2726037850370979,0.4167049684082069,False
b4460,11.999346388705888,11.315237480675107,-0.6841089080307814,0.22449509326368813,0.36580202025855346,False
b0014,10.095527000882084,12.345662370997436,2.250135370115352,0.003950681258054553,0.05741336260481983,False
b3426,12.343862483967328,9.927468331819538,-2.41639415214779,0.02431494257477689,0.10208181690888557,False
b0758,12.081885139668799,11.006059780139791,-1.0758253595290075,0.04959093974395845,0.1461959057864901,False
b4015,11.862005976769062,11.039554246426269,-0.8224517303427934,0.30265432985750684,0.44681336592121407,False
b0756,11.800794439793977,11.253791937157066,-0.5470025026369107,0.24374314234808464,0.386407355301379,False
b0720,11.649909887732584,11.300124874991434,-0.34978501274114926,0.6072526441322696,0.7136463241938719,False
b0722,12.346156535149504,8.995022661298709,-3.351133873850795,0.027193234960348703,0.10781204814668284,False
b2240,11.75116909416652,11.036454141187425,-0.7147149529790955,0.3369266425820404,0.4814157185317407,False
b1094,11.532200364193164,11.503801845181279,-0.02839851901188517,0.8185349854954012,0.8765414017903508,False
b1237,11.370424700786444,11.603571188683356,0.23314648789691184,0.231009679924579,0.37257891059661363,False
b3544,11.856776688591049,10.380278595399956,-1.4764980931910934,0.10887503808955867,0.22769392867937527,False
b1717,10.940819510241289,11.791457755944352,0.8506382457030632,0.05039771308116244,0.14776123546422554,False
b0721,12.258794164107092,9.166732245052943,-3.0920619190541494,0.017655314842741337,0.0895333932364103,False
b0733,11.45590891241937,11.296665212696853,-0.1592436997225164,0.7061744703678159,0.7868200156431872,False
b1333,11.953928951550061,10.551500180832624,-1.402428770717437,0.004135791771452309,0.057622207396199825,False
b3307,10.60125699867796,11.743236109067235,1.1419791103892756,0.09784452779654669,0.21301523255910684,False
b1800,12.185393584618813,8.032463855437113,-4.1529297291817,0.02796068538715434,0.10879482818254038,False
b3309,10.49425582483361,11.713698902191533,1.2194430773579228,0.07492614708023525,0.1821606436056857,False
b2091,10.900633969629398,11.586199652854726,0.6855656832253274,0.04565451313752753,0.14064206714648916,False
b3403,11.34390697283021,11.228577049357723,-0.11532992347248694,0.5148648864747544,0.6436528162949018,False
b0008,11.34126886499655,11.199927066435178,-0.1413417985613723,0.36757241863596485,0.5110486415236092,False
b0727,10.73121771059696,11.344755794670595,0.6135380840736353,0.48244212756323623,0.6179523304782547,False
b3985,10.06335816248125,11.681491678127287,1.6181335156460364,0.0663980910109939,0.17077056301280266,False
b4143,9.543654863690797,11.863285047036761,2.3196301833459643,0.009461171427119126,0.07278824881592408,False
b1716,10.68129926582529,11.539253141265965,0.8579538754406748,0.04459439807519254,0.1388491327248567,False
b0812,11.059186750622485,11.169293367004718,0.1101066163822324,0.8182255061079986,0.8764191101223622,False
b0605,10.7938704403065,11.475645217000116,0.6817747766936151,0.016774780033998855,0.08663430701103206,False
b4014,11.724659341570614,9.991367564514837,-1.7332917770557774,0.04193228837081118,0.13497400484690772,False
b0723,11.7429044828613,9.524530266431787,-2.2183742164295133,0.10517505958179454,0.22281132586041966,False
b3299,10.780380354710589,11.378074687365155,0.5976943326545658,0.093184790915399,0.20591498849252127,False
