gene_id,gene_name,log2_fold_change,padj
b2172,yeiQ,-3.340283840800411,0.0077758224450903
b3061,ttdA,-7.613643412055595,0.0077758224450903
b3062,ttdB,-7.140248816012008,0.0077758224450903
b2342,fadI,-3.245065255077021,0.0106243197308994
b2582,trxC,-2.139662760399064,0.0106243197308994
b2825,ppdB,-1.6942914318920836,0.0221435841155274
b3063,ttdT,-4.331330432490641,0.0221435841155274
Novel00157,-,-2.7939275552089877,0.0236601816363346
b3713,yieF,-1.7352642554605122,0.0303664421427839
b4393,trpR,-1.1334583909712972,0.0303664421427839
