gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description
b2621,ssrA,NC_000913.3,2755593,2755955,+,363,protein_coding,tmRNA&&-- && -
b3123,rnpB,NC_000913.3,3270216,3270592,-,377,protein_coding,RNase P catalytic RNA component&&-- && -
b3708,tnaA,NC_000913.3,3888730,3890145,+,1416,protein_coding,tryptophanase&&sp|A7ZTR3|TNAA_ECO24 Tryptophanase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=tnaA PE=3 SV=1 && PF01212:Beta-eliminating lyase
b2215,ompC,NC_000913.3,2311646,2312749,-,1104,protein_coding,outer membrane porin C&&sp|P06996|OMPC_ECOLI Outer membrane porin C OS=Escherichia coli (strain K12) OX=83333 GN=ompC PE=1 SV=1 && PF00267:Gram-negative porin
b1901,araF,NC_000913.3,1985139,1986128,-,990,protein_coding,arabinose ABC transporter periplasmic binding protein&&sp|P02924|ARAF_ECOLI L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=araF PE=1 SV=2 && PF00532:Periplasmic binding proteins and sugar binding domain of LacI family
b2597,raiA,NC_000913.3,2737154,2737495,+,342,protein_coding,ribosome-associated inhibitor A&&sp|P0AD51|YFIA_ECO57 Ribosome-associated factor Y OS=Escherichia coli O157:H7 OX=83334 GN=yfiA PE=3 SV=2 && PF02482:Sigma 54 modulation protein / S30EA ribosomal protein
b1677,lpp,NC_000913.3,1757421,1757657,+,237,protein_coding,murein lipoprotein&&sp|P69778|LPP_ECO57 Major outer membrane lipoprotein Lpp OS=Escherichia coli O157:H7 OX=83334 GN=lpp PE=3 SV=1 && PF04728:Lipoprotein leucine-zipper
b4408,csrB,NC_000913.3,2924156,2924524,-,369,protein_coding,small regulatory RNA CsrB&&-- && -
Novel00250,-,NC_000913.3,3270218,3270585,+,368,-,-
b2096,gatY,NC_000913.3,2176350,2177204,-,855,protein_coding,"tagatose-1%2C6-bisphosphate aldolase 2&&sp|C4ZSI0|GATY_ECOBW D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=gatY PE=3 SV=1 && PF01116:Fructose-bisphosphate aldolase class-II"
b2095,gatZ,NC_000913.3,2175059,2176321,-,1263,protein_coding,"putative tagatose-1%2C6-bisphosphate aldolase 2 chaperone&&sp|A7ZNR4|GATZ_ECO24 D-tagatose-1,6-bisphosphate aldolase subunit GatZ OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=gatZ PE=3 SV=1 && PF08013:Tagatose 6 phosphate kinase"
b2093,gatB,NC_000913.3,2174282,2174566,-,285,protein_coding,"galactitol-specific PTS enzyme IIB component&&sp|P37188|PTKB_ECOLI PTS system galactitol-specific EIIB component OS=Escherichia coli (strain K12) OX=83333 GN=gatB PE=1 SV=2 && PF02302:PTS system, Lactose/Cellobiose specific IIB subunit"
b3556,cspA,NC_000913.3,3720049,3720261,+,213,protein_coding,cold shock protein CspA&&sp|P0A9Y1|CSPA_ECO57 Cold shock protein CspA OS=Escherichia coli O157:H7 OX=83334 GN=cspA PE=3 SV=2 && PF00313:'Cold-shock' DNA-binding domain
b2092,gatC,NC_000913.3,2172921,2174278,-,1358,protein_coding,--&&sp|P69832|PTKC_ECO57 PTS system galactitol-specific EIIC component OS=Escherichia coli O157:H7 OX=83334 GN=gatC PE=3 SV=1 && PF03611:PTS system sugar-specific permease component
b2094,gatA,NC_000913.3,2174597,2175049,-,453,protein_coding,"galactitol-specific PTS enzyme IIA component&&sp|P69814|PTKA_ECO57 PTS system galactitol-specific EIIA component OS=Escherichia coli O157:H7 OX=83334 GN=gatA PE=3 SV=1 && PF00359:Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"
b3707,tnaC,NC_000913.3,3888435,3888509,+,75,protein_coding,tnaAB operon leader peptide&&sp|P0AD91|LPTN_ECO57 Tryptophanase operon leader peptide OS=Escherichia coli O157:H7 OX=83334 GN=tnaL PE=4 SV=1 && -
b0957,ompA,NC_000913.3,1019013,1020053,-,1041,protein_coding,outer membrane protein A&&sp|P0A911|OMPA_ECO57 Outer membrane protein A OS=Escherichia coli O157:H7 OX=83334 GN=ompA PE=3 SV=1 && PF00691:OmpA family|PF01389:OmpA-like transmembrane domain
b2579,grcA,NC_000913.3,2716066,2716449,-,384,protein_coding,stress-induced alternate pyruvate formate-lyase subunit&&sp|A7ZQ24|GRCA_ECO24 Autonomous glycyl radical cofactor OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=grcA PE=3 SV=1 && PF01228:Glycine radical
b3926,glpK,NC_000913.3,4115714,4117222,-,1509,protein_coding,"glycerol kinase&&sp|A7ZUE0|GLPK_ECO24 Glycerol kinase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=glpK PE=3 SV=1 && PF02782:FGGY family of carbohydrate kinases, C-terminal domain|PF00370:FGGY family of carbohydrate kinases, N-terminal domain"
b2841,araE,NC_000913.3,2980764,2982182,-,1419,protein_coding,arabinose:H(+) symporter&&sp|P0AE25|ARAE_ECO57 Arabinose-proton symporter OS=Escherichia coli O157:H7 OX=83334 GN=araE PE=3 SV=1 && PF00083:Sugar (and other) transporter
b0759,galE,NC_000913.3,791039,792055,-,1017,protein_coding,"UDP-glucose 4-epimerase&&sp|P09147|GALE_ECOLI UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=galE PE=1 SV=1 && PF16363:GDP-mannose 4,6 dehydratase"
b0757,galK,NC_000913.3,788831,789979,-,1149,protein_coding,galactokinase&&sp|A7ZJD2|GAL1_ECO24 Galactokinase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=galK PE=3 SV=1 && PF08544:GHMP kinases C terminal|PF10509:Galactokinase galactose-binding signature|PF00288:GHMP kinases N terminal domain
b1243,oppA,NC_000913.3,1301182,1302813,+,1632,protein_coding,"oligopeptide ABC transporter periplasmic binding protein&&sp|P23843|OPPA_ECOLI Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=oppA PE=1 SV=2 && PF00496:Bacterial extracellular solute-binding proteins, family 5 Middle"
b4139,aspA,NC_000913.3,4366891,4368327,-,1437,protein_coding,aspartate ammonia-lyase&&sp|Q8XDS0|ASPA_ECO57 Aspartate ammonia-lyase OS=Escherichia coli O157:H7 OX=83334 GN=aspA PE=3 SV=2 && PF10415:Fumarase C C-terminus|PF00206:Lyase
b1656,sodB,NC_000913.3,1735378,1735959,+,582,protein_coding,"superoxide dismutase (Fe)&&sp|P0AGD5|SODF_ECO57 Superoxide dismutase [Fe] OS=Escherichia coli O157:H7 OX=83334 GN=sodB PE=3 SV=2 && PF02777:Iron/manganese superoxide dismutases, C-terminal domain|PF00081:Iron/manganese superoxide dismutases, alpha-hairpin domain"
b1779,gapA,NC_000913.3,1862771,1863766,+,996,protein_coding,"glyceraldehyde-3-phosphate dehydrogenase A&&sp|P0A9B4|G3P1_ECO57 Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli O157:H7 OX=83334 GN=gapA PE=3 SV=2 && PF02800:Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain|PF00044:Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
b3236,mdh,NC_000913.3,3383330,3384268,-,939,protein_coding,"malate dehydrogenase&&sp|A7ZSD0|MDH_ECO24 Malate dehydrogenase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=mdh PE=3 SV=1 && PF00056:lactate/malate dehydrogenase, NAD binding domain|PF02866:lactate/malate dehydrogenase, alpha/beta C-terminal domain"
b3927,glpF,NC_000913.3,4117245,4118090,-,846,protein_coding,glycerol facilitator&&sp|P0AER2|GLPF_ECO57 Glycerol uptake facilitator protein OS=Escherichia coli O157:H7 OX=83334 GN=glpF PE=3 SV=1 && PF00230:Major intrinsic protein
b3495,uspA,NC_000913.3,3640111,3640545,+,435,protein_coding,universal stress protein A&&sp|P0AED2|USPA_ECO57 Universal stress protein A OS=Escherichia coli O157:H7 OX=83334 GN=uspA PE=3 SV=2 && PF00582:Universal stress protein family
b1718,infC,NC_000913.3,1800096,1800638,-,543,protein_coding,"translation initiation factor IF-3&&sp|B7USA1|IF3_ECO27 Translation initiation factor IF-3 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=infC PE=3 SV=1 && PF00707:Translation initiation factor IF-3, C-terminal domain|PF05198:Translation initiation factor IF-3, N-terminal domain"
b1900,araG,NC_000913.3,1983555,1985069,-,1515,protein_coding,arabinose ABC transporter ATP binding subunit&&sp|P0AAF5|ARAG_ECO57 Arabinose import ATP-binding protein AraG OS=Escherichia coli O157:H7 OX=83334 GN=araG PE=3 SV=1 && PF00005:ABC transporter
b1823,cspC,NC_000913.3,1907226,1907435,-,210,protein_coding,transcription antiterminator and regulator of mRNA stability CspC&&sp|P0A9Y8|CSPC_ECO57 Cold shock-like protein CspC OS=Escherichia coli O157:H7 OX=83334 GN=cspC PE=3 SV=2 && PF00313:'Cold-shock' DNA-binding domain
b4460,araH,NC_000913.3,1982554,1983540,-,987,protein_coding,arabinose ABC transporter membrane subunit&&sp|P0AE26|ARAH_ECOLI L-arabinose transport system permease protein AraH OS=Escherichia coli (strain K12) OX=83333 GN=araH PE=2 SV=2 && PF02653:Branched-chain amino acid transport system / permease component
b0014,dnaK,NC_000913.3,12163,14079,+,1917,protein_coding,chaperone protein DnaK&&sp|A7ZHA4|DNAK_ECO24 Chaperone protein DnaK OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=dnaK PE=3 SV=1 && PF10712:NAD-specific glutamate dehydrogenase|PF00012:Hsp70 protein
b3426,glpD,NC_000913.3,3562013,3563518,+,1506,protein_coding,aerobic glycerol 3-phosphate dehydrogenase&&sp|P13035|GLPD_ECOLI Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=glpD PE=1 SV=3 && PF16901:C-terminal domain of alpha-glycerophosphate oxidase|PF01266:FAD dependent oxidoreductase
b0758,galT,NC_000913.3,789983,791029,-,1047,protein_coding,"galactose-1-phosphate uridylyltransferase&&sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=galT PE=1 SV=2 && PF01087:Galactose-1-phosphate uridyl transferase, N-terminal domain|PF02744:Galactose-1-phosphate uridyl transferase, C-terminal domain"
b4015,aceA,NC_000913.3,4217109,4218413,+,1305,protein_coding,isocitrate lyase&&sp|P0A9G7|ACEA_ECOL6 Isocitrate lyase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=aceA PE=3 SV=1 && PF00463:Isocitrate lyase family
b0756,galM,NC_000913.3,787797,788837,-,1041,protein_coding,galactose-1-epimerase&&sp|P0A9C3|GALM_ECOLI Aldose 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=galM PE=1 SV=1 && PF01263:Aldose 1-epimerase
b0720,gltA,NC_000913.3,753185,754468,-,1284,protein_coding,"citrate synthase&&sp|P0ABH8|CISY_ECOL6 Citrate synthase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=gltA PE=3 SV=1 && PF00285:Citrate synthase, C-terminal domain"
b0722,sdhD,NC_000913.3,755560,755907,+,348,protein_coding,succinate:quinone oxidoreductase%2C membrane protein SdhD&&sp|P0AC45|DHSD_ECOL6 Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=sdhD PE=3 SV=1 && PF01127:Succinate dehydrogenase/Fumarate reductase transmembrane subunit
b2240,glpT,NC_000913.3,2351016,2352374,-,1359,protein_coding,sn-glycerol 3-phosphate:phosphate antiporter&&sp|P08194|GLPT_ECOLI Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) OX=83333 GN=glpT PE=1 SV=1 && PF07690:Major Facilitator Superfamily
